Trait,Multiple_R_Squared,Adjusted_R_Squared,F_Statistic,P_Value,Coefficient,Coefficient_P_Value
BMR,0.088191499,0.073888621,6.165996573,9.45E-05,19.15272451,0.002813064
CO,0.080342062,0.065916055,5.569251624,0.000258978,-12.57906747,0.009409697
MSL,0.073448656,0.058914517,5.053526563,0.00061861,-16.26139773,0.027761365
IH,0.07191502,0.057356825,4.939830557,0.000749415,-9.34490511,0.035480085
CTFS,0.070543953,0.05596425,4.838504216,0.000889066,14.32318005,0.044270365
UT,0.070412794,0.055831034,4.828826825,0.000903691,-14.86065009,0.04522286
MS,0.068623025,0.05401319,4.697043178,0.001128445,-14.84627299,0.060603975
CK,0.067059955,0.052425602,4.582365366,0.001368867,15.44509428,0.078580315
PROT,0.065811607,0.051157671,4.491053386,0.001596267,2.110821355,0.097029216
DD,0.063837694,0.049152795,4.347166054,0.002033223,-8.632682677,0.13654046
FAT,0.06281761,0.04811671,4.273045152,0.002302839,1.279639208,0.163738473
SU,0.062396992,0.047689493,4.242529277,0.002423913,7.016569043,0.176700476
CONF,0.062153719,0.047442404,4.224892338,0.002496752,-11.62316339,0.184732629
MET,0.061835854,0.047119554,4.201861403,0.002595153,-7.237643244,0.195871882
MR,0.061751702,0.047034081,4.195766729,0.002621832,-7.55889439,0.198950416
FOOT,0.061426873,0.046704157,4.172251529,0.002727345,31.15090943,0.211377354
MOB,0.061397301,0.046674121,4.170111521,0.002737155,8.621737591,0.212553406
LP,0.061348069,0.046624118,4.166549177,0.002753561,8.086456914,0.214528469
FTP,0.060828425,0.046096322,4.128970923,0.002932695,13.50103325,0.236766126
DO,0.060790365,0.046057665,4.126220177,0.002946253,8.896074735,0.238501012
ME,0.060782452,0.046049628,4.125648348,0.00294908,-6.294460384,0.238863606
UD,0.060621569,0.045886221,4.114023607,0.003007124,-12.10911424,0.246383008
FA,0.060554925,0.045818532,4.109209325,0.003031494,-8.66484636,0.249581949
MT,0.060178447,0.045436148,4.082025976,0.00317282,-8.242110733,0.268641086
CA,0.059900186,0.045153522,4.061948301,0.003281387,8.301133745,0.283898686
DF,0.059836871,0.045089214,4.057381512,0.003306591,7.485466258,0.287521303
DHL,0.059521053,0.044768442,4.03461148,0.003435158,-8.131907209,0.306496092
SH,0.05866771,0.043901714,3.973162899,0.003807409,4.434515886,0.366676034
MILK,0.0585384,0.043770375,3.963861111,0.003867144,0.032832115,0.377159452
MDR,0.058416582,0.043646646,3.955100572,0.003924253,6.046730803,0.387423984
ST,0.05788808,0.043109854,3.917119636,0.004181677,-7.978146267,0.43697891
SCS,0.057696408,0.042915175,3.903355619,0.004279042,-3.961443036,0.457326407
AFS,0.057591791,0.042808917,3.89584537,0.004333113,-5.206466007,0.469065592
MSP,0.057508678,0.0427245,3.88988007,0.004376544,-3.953331241,0.478739911
DS,0.057328277,0.04254127,3.876935727,0.004472275,-4.784174606,0.500902596
WL,0.057260497,0.042472426,3.872073518,0.004508768,3.447970039,0.50967955
TL,0.057254658,0.042466496,3.871654742,0.004511925,-6.756325421,0.510447887
FE,0.057205421,0.042416486,3.868123175,0.004538634,-3.8209975,0.517008354
DA,0.056676135,0.041878898,3.830183586,0.004835645,4.371495759,0.598660916
HHE,0.056535285,0.041735839,3.820094558,0.004917818,2.694167715,0.624912562
HL,0.056332745,0.041530122,3.805591968,0.005038368,-3.166933502,0.667624222
LOC,0.056260044,0.04145628,3.800387807,0.005082337,-3.019576978,0.684786528
FL,0.056252745,0.041448866,3.799865331,0.005086772,2.811596341,0.686574296
SCK,0.056019193,0.041211651,3.783152709,0.005230683,1.937950599,0.752015951
CW,0.055947097,0.041138424,3.77799533,0.005275902,-1.995060672,0.776744803
FEED,0.055944321,0.041135605,3.777796742,0.005277651,-1.35599779,0.777758837
BQ,0.055919494,0.041110388,3.776020897,0.005293315,-1.957085137,0.787064882
TU,0.055883383,0.04107371,3.773438146,0.00531618,1.073190784,0.801457798
UF,0.055844945,0.04103467,3.770689173,0.005340624,2.23540693,0.81814026
DCA,0.05571151,0.040899142,3.761148001,0.005426331,-1.00697885,0.8965483
BD,0.055701061,0.040888529,3.760400974,0.005433098,0.870255352,0.905512561
BCS,0.055678598,0.040865713,3.758795077,0.005447675,0.61937409,0.928570973
RUM,0.055659546,0.040846362,3.757433057,0.005460068,-0.315463395,0.957044909
HH,0.055656083,0.040842845,3.757185524,0.005462324,-0.253997187,0.96461617
